pid,slug,grid,title,htitle,subject,link,site_link_text,term,class,tutor,about,abstract,wd,level_to_q,published,pub.site,post.dir,tags,date,write.workflow,quarto,task,name,description
10,sebald,,,,w.g. sebald session preparation,../../essais/sebald/001,page intern,WS25/26,dokufiktion,Brüggemann,w.g. sebald session preparation,,szondi/docufiction/wg-sebald,3,1,DC-LX,avl,,,,1,,sebald,w.g. sebald session preparation
4,snc,,,,testing frontend,../,parent index (..),,,,try update dynamic,,,,1,DC-LX,linguistics,,,,,,snc,try update dynamic
3,sbc,,,,santa santa barbara corpus essai,../../essais/sbc/,page,SoSe24,corpus linguistics,stefanowitsch,santa santa barbara corpus essai,,corpusLX/14015-HA/HA-pages,3,1,DC-LX,linguistics,,,,0,,sbc,santa santa barbara corpus essai
5,publx,,,,why & how to public LX,,,WS25,linguistik und öffentlichkeit,stefanowitsch,why & how to public LX,,,,1,DC-LX,linguistics,,,,0,,publx,why & how to public LX
6,germanic-ha,,,,term project drafts,../../essais/germanic/001,paper drafts,WS25,germanische sprachen im vergleich,hüning/konvicka,term project drafts,,germanic/HA/drafts,3,1,DC-LX,linguistics,,,,1,,germanic-ha,term project drafts
2,germanic,,,,yiddish grammar paradigms,https://ada-sub.dh-index.org/shiny/work/essais/germanic-001/,shiny app,WS25,germanische sprachen im vergleich,hüning/konvicka,yiddish grammar paradigms,,germanic/app/germanic-001,3,1,DC-LX,linguistics,,,,0,,germanic,yiddish grammar paradigms
7,g-mcculloch,,,,analyse einer linguistischen öffentlichkeit anhand vorhandener kategorien,../../essais/publx/001,view analysis here,WS25,linguistik und öffentlichkeit,stefanowitsch,g. mcculloch site analysis,,lx-public/HA/sessions,3,1,DC-LX,linguistics,,,,1,,g-mcculloch,g. mcculloch site analysis
8,dcl,,,,dahlem center for linguistics site proposal,../../essais/lx-public/HA/DCL/pages,see this post continued as single site quarto page,WS25,linguistik und öffentlichkeit,stefanowitsch,DCL pages preliminary and drafts,,,,1,DC-LX,linguistics,,,,0,,dcl,DCL pages preliminary and drafts
9,smi-a,,,,research questions and hypothesis for group research project,../../essais/smi/001,draft,WS25,schizophrenie and mental images / x-student research group,wilck/nenchev charite berlin (BUA),"mental images, stable diffusion etc.",,mental-img/HA,2,1,DC-LX,linguistics,,,,1,,smi-a,"mental images, stable diffusion etc."
1,coherence,,,,term paper,../../essais/coherence/,paper,SoSe25,sprache und psychose,stefanowitsch,term paper,,psych/HA/paper,3,1,DC-LX,linguistics,,,,0,,coherence,term paper
11,buechner-a,,,,a georg buechner reception task,../../essais/buechner-a,class presentation,WS25,georg büchner,mara ruwe,session preparation to: buechner & reception,,szondi/buechner/site,3,1,DC-LX,avl,,,,1,,buechner-a,session preparation to: buechner & reception
13,dcl-pr,,,,dahlem center for linguistics project page,../../essais/lx-public/HA/DCL/pages,project view,WS25,linguistik und öffentlichkeit,stefanowitsch,workflows and process to DCL,,lx-public/HA/DCL/pages,4,1,DC-LX,linguistics,,,,1,,dcl-pr,workflows and process to DCL
